#{"t_start": 1587172621.985878, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
11.522295,10,0.535844
12.977225,8,0.55741
18.143798,33,0.768961
14.880644,18,0.832325
14.411041,14,0.884645
10.415711,6,0.905329
22.413209,22,0.979583
13.112118,15,1.018721
13.498222,11,1.049121
14.132691,11,1.078356
12.130412,10,1.104688
11.687141,14,1.142246
13.912574,13,1.177248
14.127036,12,1.215153
14.277254,22,1.272971
13.682569,10,1.300902
12.142577,18,1.347234
13.494837,14,1.3848
17.049038,19,1.434847
12.38338,13,1.475817
13.169843,10,1.502045
14.335835,16,1.543533
12.130045,18,1.594202
18.645019,21,1.65017
14.907291,12,1.681823
9.320981,7,1.700972
13.313075,10,1.728653
10.591572,9,1.752637
11.803687,10,1.779428
11.870564,9,1.803415
14.39403,10,1.831289
13.523693,16,1.8724
11.795948,9,1.897688
17.01082,15,1.937429
10.202646,8,1.959444
14.415528,11,1.990386
10.493491,9,2.016388
11.408469,10,2.043731
9.12919,8,2.065613
13.608413,16,2.114788
11.72419,9,2.137614
12.303939,14,2.181427
14.518587,14,2.218892
19.391529,19,2.273458
12.245532,8,2.295265
19.597692,20,2.352677
15.040786,12,2.386283
8.831305,17,2.433857
12.637733,13,2.479604
13.036292,9,2.503642
12.516533,13,2.539252
12.762423,8,2.560875
14.262801,18,2.608011
13.483859,12,2.64103
10.755627,7,2.659528
16.016754,23,2.719728
16.91435,24,2.781758
13.862686,25,2.848466
10.985667,8,2.869558
13.576219,12,2.902443
14.487051,13,2.935751
12.591238,12,2.96831
22.247937,26,3.106351
12.824657,12,3.140163
13.319264,9,3.164501
14.272437,14,3.20237
12.362495,14,3.239185
14.316246,17,3.286346
19.057052,23,3.347508
14.270656,15,3.387937
13.721814,13,3.422307
8.90114,6,3.438081
13.477997,9,3.462815
18.378526,19,3.512993
18.677313,15,3.561422
12.80625,10,3.587861
11.680187,10,3.614797
14.720497,17,3.660948
17.288888,18,3.708146
12.505268,16,3.74984
14.98659,18,3.796536
14.578531,16,3.837772
13.039215,14,3.87328
16.420169,17,3.918553
12.318989,17,3.962725
11.452961,9,3.988387
19.876904,23,4.051184
14.844953,12,4.093803
13.113076,9,4.120087
12.352286,10,4.148319
12.549824,7,4.178658
21.094257,22,4.252596
12.167105,13,4.28796
12.096002,14,4.324851
16.608524,19,4.377453
13.260792,14,4.416008
13.133165,13,4.458987
13.60453,10,4.485209
13.699244,15,4.52422
12.541997,16,4.57297
13.753128,12,4.603805
14.192207,16,4.654464
11.762549,14,4.69154
13.198261,11,4.723197
