#{"t_start": 1587174851.3934584, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
11.328565,11,0.68829
10.674966,9,0.713262
15.611376,12,0.757584
12.956114,7,0.782384
15.095273,15,0.845851
18.490051,18,0.903871
11.106026,9,0.932014
9.193543,14,0.974759
10.622896,7,0.993406
9.537694,6,1.009373
14.833532,12,1.040329
12.484886,14,1.076013
13.4727,12,1.107145
11.060438,14,1.142827
15.762391,14,1.17903
19.301113,20,1.230358
14.116567,11,1.258482
14.649534,14,1.294123
15.888472,14,1.329985
12.559796,8,1.351009
15.15797,17,1.396986
14.91605,13,1.43134
10.845103,10,1.457701
22.045947,24,1.521186
12.548699,10,1.547557
8.695419,6,1.563733
14.326474,14,1.600234
12.14983,10,1.626558
10.181275,10,1.652848
10.823138,7,1.671959
13.336507,15,1.71551
12.11811,15,1.757361
16.011227,19,1.806572
14.978276,10,1.832861
15.060341,15,1.871393
13.292513,16,1.913233
12.400085,9,1.936141
17.983268,25,2.001996
16.232524,17,2.047014
11.944259,9,2.071238
15.763528,15,2.110711
13.63129,20,2.162786
11.622512,13,2.19763
9.496728,12,2.229591
18.212241,21,2.285045
14.806475,23,2.347192
12.72743,10,2.373356
13.486672,12,2.405948
11.11675,10,2.432677
13.024221,9,2.456619
10.989364,14,2.494065
10.636021,7,2.513439
12.475567,9,2.537423
11.582628,8,2.558845
11.723904,7,2.576798
13.136304,10,2.603798
17.565712,27,2.674923
11.887303,10,2.702144
14.120848,10,2.728462
13.946715,13,2.76326
11.075062,9,2.787977
13.514736,12,2.820096
15.533051,12,2.852377
11.549398,8,2.873916
16.541514,17,2.918948
9.366198,6,2.935324
13.11653,14,2.97278
13.878821,20,3.026852
13.012109,12,3.059131
22.428173,24,3.122787
18.655508,18,3.170847
12.667883,11,3.200498
20.436446,31,3.283168
12.435367,9,3.307425
15.931147,15,3.348264
14.084471,14,3.38539
11.681271,8,3.407576
13.135511,18,4.466867
11.126819,12,4.511
15.069224,15,4.554765
15.127846,16,4.599684
11.223581,9,4.624445
10.459459,7,4.647769
12.452017,9,4.672681
11.100101,9,4.696531
20.014174,21,4.753534
16.992169,15,4.793461
11.098058,8,4.815553
11.582288,8,4.837032
12.454222,8,4.85894
10.828397,7,4.878693
11.159762,9,4.904024
18.887646,19,4.956436
10.776919,11,4.987335
17.936583,26,5.058393
15.280823,22,5.11792
10.110018,8,5.140312
14.843366,19,5.192135
15.356968,17,5.240044
11.04884,7,5.259207
14.129444,15,5.300269
9.585001,6,5.316206
12.58811,11,5.346196
13.975027,15,5.396113
11.440939,16,5.438122
14.255403,14,5.475812
11.781787,9,5.500382
8.974586,6,5.516499
14.734505,13,5.550815
14.569707,12,5.582233
10.963684,8,5.603726
12.200672,12,5.636185
14.54445,12,5.668073
11.968335,10,5.694985
12.854501,13,5.730116
18.470782,24,5.793918
13.322919,9,5.818326
12.387259,9,5.842618
14.120084,14,5.879744
11.293071,11,5.908547
14.322894,18,5.957092
10.857389,12,5.989473
13.887639,14,6.027161
15.427702,13,6.06188
11.985602,10,6.08827
14.153577,16,6.130648
15.211488,13,6.16992
10.989315,10,6.196727
10.331353,9,6.22103
10.667539,10,6.248022
14.031625,12,6.28123
13.515326,12,6.31364
12.279517,9,6.337995
13.043493,11,6.367639
13.289827,11,6.397236
13.504952,13,6.431705
12.177506,8,6.453509
9.900819,15,6.493221
17.290237,21,6.548762
15.291355,12,6.581126
11.123443,12,6.612868
17.525331,19,6.663488
14.509263,13,6.698459
15.674931,20,6.751509
14.851066,12,6.78325
13.027092,12,6.815693
11.932751,8,6.837152
13.610986,12,6.868816
15.791616,22,6.926449
11.515296,12,6.958529
14.668329,15,6.997641
12.713315,9,7.022231
9.066072,14,7.059649
9.593618,6,7.07593
10.610148,9,7.101259
10.747289,12,7.134084
13.167428,11,7.164369
14.162991,11,7.194571
13.033649,9,7.219353
11.992845,15,8.16215
9.880328,7,8.18518
14.924866,38,8.291937
17.233154,15,8.333362
11.769859,14,8.369736
13.763822,11,8.399056
13.77185,12,8.430666
11.314149,12,8.462094
17.574123,21,8.517083
17.917457,21,8.572059
11.094949,10,8.598867
11.958417,9,8.622617
14.250559,14,8.659111
13.418216,18,8.705973
15.785619,26,8.77396
15.824103,13,8.808022
18.959504,20,8.860348
18.614664,22,8.917139
17.532682,18,8.96369
15.831794,18,9.010666
13.621807,11,9.039857
15.845825,20,9.093555
12.934777,12,9.125239
18.40922,15,9.164928
12.836324,8,9.185807
9.964415,11,9.214751
11.173388,9,9.23846
12.018624,8,9.260058
18.257845,17,9.305977
13.451436,13,9.340278
14.421365,14,9.610256
14.733705,14,9.648814
12.353148,11,9.678701
12.963407,14,9.716875
14.684616,15,9.757163
12.455874,10,9.784899
14.3347,13,9.820175
11.806067,10,9.847197
11.657661,10,9.874161
13.141346,11,9.903147
18.432228,27,9.974938
14.288608,11,10.003943
12.430799,9,10.028246
20.670208,30,10.113285
12.580945,15,10.152161
17.550813,23,10.21273
14.266967,12,10.244165
11.064084,9,10.269314
12.498779,10,10.295579
11.737968,10,10.327735
13.070141,13,10.362021
13.211876,11,10.390893
14.178056,13,10.42426
15.178091,22,10.4818
8.450748,11,10.510671
15.099444,12,10.542139
14.684743,16,10.583956
14.305245,18,10.631989
11.993203,19,10.680508
14.029105,11,10.70909
11.195286,15,10.748669
22.600411,24,10.811229
16.549381,19,10.861236
15.103981,18,10.908766
15.596023,14,10.946124
16.468589,15,10.984755
11.855111,12,11.015604
14.718581,12,11.047282
16.977598,21,11.101801
13.708362,11,11.997362
17.252294,18,12.064328
10.635172,11,12.103694
17.430559,22,12.175249
16.689015,20,12.257512
15.823623,22,12.321549
12.676297,9,12.346684
18.719041,19,12.402741
13.69649,12,12.435192
20.195318,26,12.505948
15.666307,16,12.548524
17.120401,19,12.60078
12.503984,11,12.631231
12.403191,11,12.660427
13.07657,13,12.69592
14.262524,21,12.753008
15.734712,23,12.820713
13.181911,13,12.856073
14.187074,12,12.888641
15.232214,14,12.927165
14.239098,11,12.957204
15.572732,14,12.995145
13.028948,14,13.033274
10.749401,9,13.057931
12.562335,8,13.079811
13.111372,9,13.104231
12.645357,10,13.131238
20.629134,25,13.198154
15.020702,15,13.238698
15.2914,19,13.28957
21.042447,31,13.374129
20.065534,21,13.430429
11.089651,9,13.454504
14.486676,21,13.511338
12.668968,12,13.543789
16.384486,21,13.599755
14.978438,15,13.639267
17.068804,23,13.700199
16.47128,20,13.753274
12.668765,8,13.774888
17.697411,15,13.814547
12.603966,14,13.850973
21.608509,32,13.93579
23.617751,34,14.024542
19.887681,21,14.08024
24.584703,27,14.151391
20.516477,30,14.22917
11.150377,12,14.261078
14.182325,13,14.294771
13.953416,10,14.321735
21.665268,20,14.375034
16.408403,16,14.417844
19.117419,23,14.479242
12.709937,13,14.513186
12.105522,8,14.534094
15.552107,13,14.570009
11.794931,16,14.612717
23.799349,33,14.699528
13.24342,10,14.72578
20.941915,23,14.786988
10.493023,9,15.679359
22.003605,35,15.811289
12.068651,9,15.847082
13.55086,17,15.917835
12.476699,10,15.948661
12.249494,13,15.994986
14.49095,11,16.025248
16.902174,18,16.074188
15.982768,19,16.126744
12.166862,8,16.149146
13.91379,14,16.187461
12.750257,18,16.236345
12.571003,11,16.267627
12.795028,9,16.292497
19.088919,23,16.354331
13.440624,11,16.38414
22.596122,28,16.456799
19.081275,23,16.517586
17.506514,20,16.569564
14.459477,12,16.601495
11.506293,7,16.620046
15.454642,13,16.654624
23.044965,26,16.723069
14.485082,12,16.754923
14.610986,19,16.805231
16.139028,16,16.84741
13.813521,14,16.884462
15.703227,15,16.923933
16.641252,20,16.976552
15.827023,25,17.042008
14.43253,11,17.071601
14.763074,10,17.09831
12.652933,13,17.132815
10.137309,8,17.154541
20.96309,27,17.225888
13.860381,9,17.249496
13.849094,12,17.281253
15.272865,16,17.324178
18.764606,17,17.370601
16.81012,15,17.412045
13.123614,14,17.449943
14.172243,13,17.485509
11.191488,11,17.515789
20.756464,28,17.592533
14.359012,12,17.626485
16.199951,19,17.678975
11.891205,14,17.717819
24.280635,25,17.78642
17.255416,17,17.832039
25.761415,38,17.936878
16.931965,18,17.986159
14.962954,19,18.037827
8.595293,9,18.06242
13.116699,9,18.087505
13.794896,18,18.136909
19.031741,25,18.488866
20.432939,18,18.538146
17.631214,19,18.588273
19.443263,17,18.634549
13.067379,15,18.674128
11.647123,11,18.703583
16.579637,14,18.740487
13.757834,18,18.787585
15.409722,19,19.684427
18.212862,24,19.774073
19.698873,23,19.865803
14.289676,13,19.913872
13.730624,14,19.959455
11.505521,8,19.986553
14.015634,11,20.020824
24.127801,27,20.103923
28.403279,30,20.193041
13.282386,9,20.217364
18.042366,25,20.282921
13.112322,12,20.314598
13.227788,11,20.344181
18.071758,18,20.391968
17.217284,17,20.437397
15.037685,19,20.486951
15.290616,20,20.540487
20.811874,21,20.595078
11.902433,8,20.61688
12.736558,9,20.640671
16.469734,14,20.677834
15.623223,16,20.7206
16.995447,21,20.775814
16.364909,15,20.815712
15.117858,13,20.849458
11.705227,8,20.871164
13.49046,15,20.910718
16.008994,16,20.951689
38.208217,40,21.061671
20.496057,25,21.125939
13.777889,15,21.165469
13.77832,13,21.199753
17.232356,24,21.261756
18.788513,22,21.318632
12.577229,10,21.345321
16.943546,16,21.387329
16.589363,20,21.438742
11.930102,11,21.467718
15.380164,19,21.517495
18.89773,22,21.581608
16.20459,14,21.622712
12.566289,9,21.646519
18.324273,22,21.704193
18.592454,21,21.76595
12.584447,9,21.789701
18.169609,26,21.858187
17.027883,16,21.900453
12.442561,10,21.927327
21.449004,32,22.011894
16.081923,20,22.064255
12.645828,14,22.101039
14.005194,11,22.13072
22.986196,26,22.200403
22.669063,25,22.267327
19.773138,37,22.368947
17.702352,24,22.437555
21.409668,29,23.350836
17.166351,18,23.418183
19.779575,31,23.509962
16.064009,16,23.567986
17.663789,34,23.690873
25.573782,30,23.789034
19.781448,27,23.871217
29.84993,46,23.997538
12.978308,15,24.038462
21.403828,27,24.111468
14.440823,15,24.151618
13.922207,16,24.195302
28.762859,40,24.304058
12.305221,10,24.331498
19.668792,22,24.390907
25.216445,32,24.477677
34.451569,40,24.583772
19.737881,30,24.665264
14.640144,19,24.716379
15.638961,15,24.757585
23.918021,30,24.838131
26.715672,35,24.93283
15.662457,16,24.977048
41.133778,50,25.11179
41.535798,61,25.275813
13.813831,10,25.303409
20.640479,31,25.387069
40.124324,47,25.511425
13.255742,16,25.554615
14.727011,11,25.583845
27.688035,33,25.672656
15.342399,15,25.712449
19.474495,20,25.765487
15.829913,17,25.810053
21.856419,31,25.891325
56.155524,85,26.111044
13.701648,9,26.134425
12.753079,15,26.173279
11.90522,12,27.035265
21.126559,27,27.138334
21.139437,25,27.214148
28.122463,36,27.332081
20.489263,20,27.392677
24.134537,43,27.510681
16.376846,18,27.566892
15.627922,17,27.614451
17.530142,20,27.670909
24.701224,31,27.758737
20.414037,17,27.806255
13.226555,14,27.844441
24.762891,42,27.956658
17.275708,17,28.415585
15.686526,17,28.463597
37.572937,55,28.617044
17.021548,18,28.667384
20.567157,27,28.743059
19.591798,21,28.802724
47.657128,56,28.958334
14.7552,12,28.99307
18.157216,19,29.046213
19.355786,27,29.121018
17.049323,19,29.173841
26.649881,36,29.271457
12.146615,8,29.293698
18.354343,23,29.354816
31.143535,42,29.468713
33.411491,37,29.56876
17.708945,16,29.612374
20.036548,27,29.685162
15.506616,14,29.721951
30.811819,40,29.827553
25.809395,26,29.896419
27.576965,25,29.96349
23.752888,28,30.038233
28.039021,37,30.136568
21.555163,25,30.202946
28.96096,44,31.175092
23.246883,34,31.287707
20.719672,26,31.363581
16.93205,23,31.426524
22.260279,26,31.49925
14.974178,17,31.547268
36.559976,49,31.694765
43.950954,45,31.830621
26.197505,39,31.946271
25.826023,34,32.060249
20.655951,22,32.131747
14.768808,13,32.179612
41.224357,61,32.341609
24.967514,29,32.41882
11.719434,11,32.448861
23.874644,32,32.534064
49.937713,85,32.763994
29.752222,65,32.941279
18.533304,20,33.012623
18.115278,31,33.099258
23.436502,23,33.17481
14.094458,12,33.220769
21.789847,33,33.32273
23.707228,27,33.401868
15.441429,12,33.436906
20.282657,36,33.551072
18.353704,27,33.625586
29.898689,32,33.716485
23.0904,35,33.811392
20.061663,23,33.873496
12.468478,11,33.902936
25.060303,33,33.991025
26.349933,43,34.10642
23.674001,27,35.006861
20.989081,20,35.060163
26.004104,43,35.174452
25.17111,27,35.246067
21.847863,52,35.40162
23.999643,53,35.555902
18.317885,25,35.625651
39.144314,44,35.74833
28.521555,33,35.838777
18.844231,25,35.9075
21.412658,27,35.987737
48.239416,43,36.1057
14.609303,19,36.155578
21.951786,30,36.232769
21.547174,43,36.345466
19.384295,40,36.450418
16.614346,18,36.503822
45.093684,59,36.659809
14.118351,17,36.70465
30.363861,42,36.814991
45.814341,46,36.937289
27.850608,37,37.040295
21.68021,27,38.118295
39.045318,46,38.238057
44.080682,63,38.407064
27.283351,31,38.48827
19.099277,22,38.545394
27.70135,40,38.658701
13.880611,11,38.689773
22.52654,24,39.561128
56.502243,57,39.710081
17.378397,19,39.762942
23.552028,34,39.85638
45.809821,70,40.056749
17.111128,16,40.112883
24.25549,27,40.198706
20.499504,33,40.291521
36.696054,57,40.459457
31.825577,40,40.573518
15.848934,59,40.730258
38.939959,50,40.862028
60.77115,73,41.054754
36.749591,48,41.182726
17.226288,22,41.241536
27.733219,32,41.326966
20.247108,27,41.3993
17.46239,19,41.449492
47.572531,57,41.602928
16.394385,59,41.771817
31.629789,32,41.883175
