#{"t_start": 1587180036.0962088, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
15.961094,14,2.068062
13.797347,8,2.07344
23.304181,25,2.089381
14.356914,9,2.09543
14.757933,11,2.102722
15.746884,14,2.111773
15.621598,12,2.119898
15.939121,14,2.129464
13.929011,10,2.135964
16.514945,13,2.144591
13.002388,11,2.15188
17.264877,13,2.160634
12.839236,9,2.166811
17.606293,15,2.176231
15.275881,11,2.183476
15.612431,14,2.19262
16.285409,14,2.20179
17.423096,15,2.211401
15.276637,13,2.219852
16.36584,19,2.232282
14.04345,9,2.238569
15.741018,20,2.251733
13.972842,8,2.257282
16.644723,14,2.26655
14.190951,11,2.273767
21.762203,20,2.286618
16.037517,16,2.297034
20.075228,18,2.308725
22.943344,26,2.325071
19.071068,20,2.337886
12.327245,7,2.342747
15.302463,10,2.349509
13.213776,8,2.354871
13.543277,9,2.360778
13.525468,10,2.367413
14.310151,15,2.377058
15.357605,13,2.385566
19.169008,19,2.397712
23.049801,28,2.41572
16.61947,13,2.424198
15.930651,11,2.431521
16.917385,15,2.441424
19.776823,19,2.453812
17.715606,15,2.463567
14.121004,11,2.470921
24.269686,23,2.486065
21.696613,23,2.501065
13.545466,11,2.508425
17.177978,16,2.518729
15.801258,12,2.52673
17.290562,15,2.536617
14.995256,10,2.543379
15.331492,11,2.550611
15.718545,11,2.557773
13.039056,9,2.56376
14.223231,10,2.570495
18.997247,18,2.582415
12.220214,8,2.587805
16.438456,12,2.595791
23.528849,22,2.609947
14.185725,10,2.616684
18.644629,16,2.627074
19.790811,18,2.638497
13.646703,10,2.645218
16.617267,16,2.655554
15.706152,11,2.663084
18.969263,18,2.674645
23.274712,23,2.689417
18.18259,13,2.69788
17.677364,16,2.708452
16.218419,15,2.718254
15.256526,15,2.727971
12.27131,8,2.733341
17.531097,13,2.741897
23.836025,23,2.756955
15.233375,12,2.765023
12.986151,7,2.769809
14.014434,10,2.776519
14.223035,11,2.783809
15.427186,11,2.791157
12.27178,9,2.797143
17.518254,17,2.808052
14.500974,11,2.815379
13.132384,8,2.820873
20.404764,16,2.831469
12.975946,8,2.836844
13.886164,15,2.846302
17.117681,14,2.855611
17.784144,14,2.864948
17.875665,21,2.878396
15.04676,10,2.884973
13.376338,7,2.889873
15.681783,13,2.89826
13.160154,9,2.904282
13.639173,10,2.910814
12.258728,8,2.916283
14.365117,8,2.921613
22.044351,27,2.938916
15.071126,11,2.946127
14.136507,11,2.953433
18.038036,17,2.964279
24.810288,27,2.981447
17.763096,13,2.98997
13.00179,8,2.995466
17.586228,13,3.003965
15.774061,13,3.012504
14.8705,11,3.019809
17.385201,14,3.029129
18.586073,14,3.03831
14.230369,8,3.043821
17.365149,17,3.054676
17.126431,14,3.064028
24.596521,23,3.079311
13.903197,10,3.085893
16.91952,13,3.094489
16.247666,11,3.101947
22.003104,21,3.115023
14.419571,10,3.121641
16.014958,12,3.129635
17.434592,13,3.138377
14.850967,14,3.147543
12.191805,8,3.152881
12.693672,9,3.15901
14.763845,10,3.165803
16.273497,11,3.173015
13.41685,8,3.178371
14.32221,9,3.184369
17.329793,17,3.195372
14.127362,9,3.201287
18.48634,16,3.211827
16.717386,13,3.220193
18.759137,20,3.233281
19.546533,16,3.243471
19.558506,19,3.255672
13.516367,14,3.264596
19.619343,24,3.280108
26.441542,23,3.294888
16.061418,15,3.304708
19.084562,16,3.315156
24.760107,21,3.329077
14.654471,10,3.335783
18.394927,19,3.348042
21.270422,20,3.361027
19.211181,19,3.373579
18.248511,15,3.383486
20.894971,17,3.394522
16.240911,14,3.403659
13.503102,9,3.409814
16.144915,14,3.41901
14.484188,11,3.426189
15.226441,11,3.433514
21.072578,20,3.446895
15.85744,16,3.457209
13.195608,12,3.465167
19.530453,16,3.475729
19.938442,22,3.489829
15.632983,12,3.49771
20.107608,20,3.510543
18.272833,13,3.518981
15.166835,12,3.526905
19.060474,21,3.540373
11.815478,7,3.545132
27.674393,27,3.562441
14.699065,11,3.569804
14.566977,10,3.576398
15.212724,11,3.583564
14.038009,10,3.590246
17.617349,14,3.599426
14.938852,16,3.609784
19.31025,15,3.619534
24.762276,26,3.636318
18.383093,17,3.647477
15.518413,13,3.656075
15.231894,13,3.664358
19.133277,14,3.673445
21.45781,23,3.687888
14.81827,11,3.695032
15.688675,12,3.702787
11.878823,8,3.708115
16.948292,13,3.716589
21.096814,22,3.730435
14.892889,9,3.736331
15.793021,13,3.744857
22.06948,21,3.75843
13.956175,9,3.764393
14.079562,11,3.77156
14.655936,10,3.778086
20.645501,18,3.789753
18.930057,15,3.799379
18.162934,13,3.80792
15.925321,13,3.816482
17.005917,22,3.830503
16.483664,13,3.838716
13.157129,8,3.84388
14.116109,10,3.850451
14.936266,13,3.858783
14.435694,10,3.86545
17.095698,12,3.873177
14.974595,11,3.880191
21.438192,24,3.895592
13.799226,11,3.902756
15.050476,15,3.912383
17.264006,12,3.92019
13.684617,9,3.926268
20.758229,19,3.938506
21.688612,18,3.950043
18.144199,18,3.961533
12.850258,8,3.966964
17.058595,12,3.97477
16.004815,11,3.982035
14.155929,11,3.98918
16.673238,16,3.999479
17.398863,14,4.008501
18.743243,18,4.019841
25.68956,24,4.034994
12.563472,9,4.041086
18.116609,15,4.050882
11.933784,7,4.05563
12.11224,7,4.060272
15.337233,13,4.068669
17.854631,13,4.077126
12.559835,10,4.083673
18.82888,16,4.094035
12.690919,17,4.104781
16.985024,13,4.113225
12.992787,10,4.119867
14.306566,13,4.12817
18.453686,16,4.138626
16.045165,12,4.146353
16.543981,13,4.154709
14.483402,9,4.160643
20.432876,18,4.172765
18.722919,15,4.182506
14.401577,11,4.189654
19.980008,24,4.204774
12.237228,8,4.210217
18.20965,14,4.219364
12.350429,11,4.226444
13.839037,12,4.234026
16.558386,16,4.244448
15.98253,12,4.252177
19.505336,17,4.263348
12.266626,9,4.26913
19.331956,16,4.279475
15.295933,9,4.285471
16.453896,14,4.29446
17.912711,14,4.303409
18.848746,19,4.315629
17.158932,11,4.322992
15.487343,16,4.33327
15.047544,12,4.341198
14.372337,10,4.347836
19.992107,19,4.359933
12.951343,8,4.365826
15.304537,12,4.373678
18.244992,20,4.386668
13.71201,9,4.392668
18.621535,18,4.404517
21.206232,27,4.421478
16.935735,16,4.431794
14.519582,10,4.438261
11.740979,6,4.442304
17.789045,16,4.452501
15.467032,16,4.462617
18.96912,19,4.474651
19.793954,21,4.487931
17.942822,16,4.497992
16.148594,13,4.50658
15.046595,9,4.512534
18.904913,17,4.523296
18.59854,18,4.534798
24.70591,26,4.551416
13.983273,10,4.558055
19.426656,20,4.570802
13.126291,9,4.576726
20.599638,17,4.587719
13.911055,11,4.594807
16.480292,14,4.603684
23.73234,24,4.619008
14.334233,10,4.625638
17.554354,14,4.634516
16.016753,13,4.64301
12.798602,10,4.649677
15.292622,14,4.658663
17.57134,14,4.667871
15.725845,12,4.675594
13.376174,9,4.681504
18.529634,21,4.694897
16.226007,11,4.702166
12.07584,8,4.707444
17.410617,18,4.718721
11.742296,7,4.723476
13.565695,15,4.733079
17.93101,18,4.744666
13.964803,10,4.751285
16.928661,17,4.762182
18.763427,17,4.773139
12.947163,9,4.779188
15.366182,14,4.78834
13.70107,12,4.796461
15.676951,12,4.804465
24.631739,20,4.817672
17.810897,16,4.82795
19.091865,16,4.838554
15.689316,11,4.845823
17.169477,13,4.854379
15.403173,11,4.861748
12.721411,8,4.867243
15.461964,17,4.878572
23.102578,21,4.891852
13.435103,8,4.897181
15.433874,16,4.907383
12.691091,8,4.912647
15.117753,13,4.921259
20.84446,16,4.931869
19.291036,20,4.944979
17.090782,13,4.953413
17.667884,16,4.963788
13.317432,9,4.969653
14.514826,13,4.978296
12.117443,8,4.983632
18.016113,15,4.993082
12.230964,8,4.998371
13.738939,10,5.004832
11.58125,7,5.009516
17.75589,13,5.017907
13.77385,10,5.024446
19.109693,17,5.035475
20.790974,15,5.045021
13.042497,9,5.050955
23.253215,29,5.068964
13.430928,8,5.074436
15.340891,14,5.083452
21.397889,25,5.099446
13.745811,12,5.10708
16.795632,13,5.115652
13.226803,9,5.121619
15.927029,12,5.129385
19.567311,16,5.139547
17.071944,14,5.148964
23.290112,24,5.16423
12.274376,9,5.170172
15.897871,11,5.177577
15.265363,12,5.185511
16.43115,13,5.194102
19.547812,16,5.204392
15.727239,11,5.211643
18.943427,16,5.222091
22.78696,20,5.23509
14.986337,9,5.241083
14.489188,10,5.247572
17.81697,16,5.257723
15.622263,12,5.265506
18.182486,15,5.275451
14.705072,12,5.283283
12.077244,7,5.288071
17.979338,17,5.298898
17.270588,16,5.309093
12.871189,7,5.313802
17.25049,14,5.322941
15.059213,12,5.330543
12.805376,8,5.336004
15.347219,15,5.345443
14.181346,9,5.351405
15.805827,16,5.361539
18.037194,18,5.37326
21.330541,24,5.388511
15.021221,13,5.397062
14.589227,14,5.405863
21.97726,23,5.420261
17.084178,14,5.4294
19.37613,21,5.442778
14.237982,9,5.448651
19.230148,18,5.460162
22.003292,19,5.472227
14.842157,10,5.478794
16.196763,12,5.486439
13.256674,8,5.491749
17.351841,22,5.505642
13.462587,10,5.512243
16.820931,13,5.520608
16.996341,14,5.529451
14.89657,12,5.537193
18.186454,22,5.55135
14.133808,11,5.558613
16.405299,14,5.567712
13.236321,9,5.573752
23.640072,22,5.587791
12.976616,8,5.593101
15.112616,12,5.60087
12.901283,13,5.60903
14.32274,10,5.615865
16.69898,12,5.623744
20.90498,20,5.636501
17.596557,13,5.645029
14.93441,10,5.651749
17.65464,17,5.662768
17.404573,14,5.671814
15.34206,12,5.679581
17.64589,21,5.693122
18.991725,13,5.701647
14.07324,9,5.707693
15.513726,12,5.715589
14.923245,16,5.725727
13.783552,8,5.731039
22.630811,28,5.749115
15.43167,12,5.757047
16.737123,14,5.766118
17.457628,15,5.775808
22.490997,20,5.788706
21.20715,25,5.804469
15.417382,15,5.814167
13.20143,9,5.820028
18.157713,16,5.830291
16.149687,17,5.840929
14.353327,9,5.846974
15.298487,11,5.85412
13.504151,8,5.859496
14.216533,16,5.869997
14.817607,9,5.876117
16.475838,15,5.885787
15.624821,13,5.894394
17.833343,15,5.904366
15.181444,13,5.912988
19.733013,18,5.924766
14.033533,9,5.93064
22.622331,23,5.945237
21.024113,21,5.958782
12.950477,10,5.96539
19.487233,18,5.977097
17.124715,14,5.98615
17.602912,16,5.996702
21.06223,20,6.009865
25.41537,26,6.026222
12.345282,6,6.030338
22.497365,21,6.043939
12.794335,8,6.04923
14.509067,10,6.055879
23.335784,22,6.069711
20.515203,20,6.082446
18.098506,23,6.096924
17.969415,15,6.106534
16.004925,13,6.114865
18.69474,17,6.126232
17.841694,20,6.138816
15.462718,13,6.147256
18.530449,24,6.162442
17.660264,15,6.17214
12.306203,7,6.176855
16.415069,19,6.189141
12.024025,9,6.194952
25.657886,24,6.210245
17.95571,17,6.221234
31.507714,30,6.240347
11.735557,8,6.245649
22.055843,23,6.260542
25.748011,27,6.27748
16.461352,13,6.285792
19.221319,17,6.296846
17.55232,17,6.307889
19.07885,20,6.32056
21.787157,22,6.334723
15.422478,9,6.340591
19.439353,19,6.353107
13.472723,8,6.358411
20.551671,24,6.373676
23.756751,19,6.385802
21.117078,20,6.398796
13.643199,15,6.408349
15.771286,12,6.416281
20.860629,24,6.431756
17.664285,19,6.443814
16.980013,12,6.451568
15.690573,11,6.458679
20.008944,18,6.470224
12.178979,8,6.47561
16.916103,15,6.485071
20.087533,18,6.496971
14.739075,10,6.503489
22.31671,21,6.517051
14.8659,15,6.526517
14.229969,10,6.533108
17.750957,14,6.542361
15.787446,11,6.549754
15.846652,14,6.558888
17.619107,14,6.567927
20.125582,21,6.581416
14.87782,15,6.591226
21.945302,23,6.605684
12.560468,8,6.610881
18.304317,20,6.623558
