#{"t_start": 1587177564.6233273, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
10.409049,7,1.044142
15.336604,23,1.063453
14.754388,10,1.072076
11.850092,9,1.080047
12.561607,8,1.087128
14.044912,15,1.099825
16.586856,14,1.111628
16.410296,18,1.126895
12.62819,12,1.137285
12.311559,11,1.146856
12.385624,8,1.153731
13.397596,10,1.162257
9.54596,7,1.168298
10.205777,7,1.174406
15.643851,22,1.192787
10.943374,18,1.20768
11.093494,14,1.219439
15.513447,15,1.23227
10.043894,10,1.240799
11.584346,8,1.247643
14.126178,15,1.260244
16.087255,19,1.275935
15.611904,13,1.286745
13.361678,14,1.298268
10.607173,15,1.310569
18.113059,20,1.327504
10.622688,11,1.337058
11.056006,7,1.343179
10.931596,7,1.349307
14.264819,14,1.360963
14.665019,14,1.372814
11.373291,16,1.386132
13.608266,13,1.397018
13.86394,11,1.406469
10.607543,11,1.415787
20.482034,27,1.43824
12.394814,19,1.454095
15.519673,18,1.469042
10.476804,7,1.475158
15.442865,15,1.487705
14.714332,19,1.503189
15.00655,16,1.516382
13.40635,12,1.526374
17.852955,20,1.54308
15.499763,14,1.554591
11.802844,12,1.564621
13.361612,10,1.573036
20.79115,21,1.590534
13.755943,13,1.601339
16.727195,16,1.61474
13.966293,15,1.627261
9.883893,6,1.632414
12.875536,12,1.642339
11.061909,12,1.652289
10.898939,8,1.659197
18.377582,17,1.673187
12.121382,15,1.685345
11.97677,13,1.696324
11.823129,9,1.704033
12.235168,8,1.710897
13.388978,15,1.723293
8.795874,6,1.728463
12.441979,14,1.740229
13.580583,11,1.749593
11.30054,9,1.757252
11.17605,10,1.765797
10.937314,10,1.774291
12.061274,10,1.782803
13.717018,17,1.79673
15.057138,13,1.807476
12.862915,18,1.822206
9.292298,8,1.828957
10.105557,7,1.834918
20.400908,28,1.857971
12.453259,10,1.866284
15.428576,16,1.879499
12.782803,14,1.89111
13.06787,16,1.904177
13.843512,9,1.911844
12.855068,13,1.922759
11.423817,11,1.93193
14.763626,17,1.945848
9.89313,9,1.953347
13.960799,11,1.96278
18.277998,16,1.97622
9.554002,8,1.983011
19.226063,33,2.009749
13.541494,10,2.018132
13.963142,15,2.03072
12.646905,10,2.039098
13.618893,16,2.052511
17.249846,19,2.068135
15.19665,19,2.083626
10.606646,10,2.091889
12.091467,8,2.098518
15.548706,16,2.111424
11.074323,10,2.119687
22.325172,28,2.142118
13.990511,11,2.151364
16.220508,22,2.169101
15.770151,17,2.183183
12.06546,9,2.190805
14.138431,11,2.199816
13.607859,16,2.212938
13.510172,10,2.221151
10.804815,7,2.227002
13.815905,13,2.23752
16.269468,23,2.256285
13.293336,13,2.267089
11.885635,11,2.276089
16.518648,14,2.287936
10.668828,12,2.298253
18.450884,19,2.31392
14.190949,17,2.328076
11.78759,8,2.334809
10.594859,8,2.341577
13.412224,10,2.349849
11.360377,8,2.35672
10.416809,8,2.363504
15.422854,16,2.376769
17.407924,22,2.394546
8.457674,7,2.400637
12.541394,10,2.40898
14.14519,13,2.419684
15.893959,18,2.434399
13.437482,13,2.445067
15.302154,16,2.458494
13.285648,12,2.468469
17.370298,16,2.48154
12.280939,14,2.492855
15.256471,16,2.506229
11.719598,10,2.514719
11.186601,9,2.522406
13.819906,13,2.533414
11.50771,11,2.542577
12.216777,8,2.549266
17.824493,20,2.565718
11.672369,16,2.578832
18.018698,17,2.592489
9.916183,12,2.602234
11.303354,8,2.608935
11.597083,17,2.622852
13.534861,13,2.633663
13.765894,12,2.643789
17.357897,19,2.65935
11.831025,13,2.670073
32.901552,46,2.707214
12.928774,10,2.715928
16.091162,20,2.732562
12.136907,10,2.740918
14.033146,10,3.165479
14.667774,15,3.178123
14.742293,18,3.192532
13.602272,15,3.204944
18.386696,23,3.223452
9.942118,9,3.231052
15.412071,18,3.245669
10.470252,8,3.252382
12.698501,14,3.263535
12.240733,10,3.272041
10.573242,8,3.278808
14.908169,11,3.288038
11.258852,9,3.295579
12.842603,9,3.303158
12.683983,10,3.311473
13.115897,11,3.320549
15.573087,14,3.331892
12.387965,12,3.341899
10.305092,8,3.348526
16.817532,17,3.362505
11.570688,9,3.37012
15.448147,13,3.380849
10.422372,11,3.389934
17.5667,15,3.402584
9.253499,15,3.414714
14.276194,11,3.423951
12.427736,10,3.43217
12.317857,7,3.438158
14.020714,14,3.449713
16.402361,18,3.464603
16.052035,14,3.476196
19.933232,19,3.491891
14.205296,13,3.502559
12.257562,10,3.510878
11.84807,10,3.519345
14.288993,10,3.527694
18.278506,19,3.543277
15.663721,15,3.55574
12.417494,10,3.564265
12.556667,13,3.574733
13.232205,12,3.584665
12.348141,13,3.595201
18.453386,25,3.615806
9.617093,11,3.624864
14.595848,15,3.63713
12.566403,11,3.646388
10.725484,7,3.652308
10.971729,7,3.658338
14.231984,10,3.666777
12.004791,11,3.676017
13.310209,10,3.684376
15.832631,18,3.699318
11.572203,10,3.707748
13.2471,10,3.715963
18.404399,19,3.731624
12.157239,10,3.740019
11.954662,10,3.748376
13.453443,9,3.755906
12.724279,12,3.765899
29.641164,34,3.793487
9.632416,6,3.798642
16.891838,21,3.815871
16.105606,19,3.831311
14.91558,17,3.845382
11.731669,8,3.852139
12.586839,10,3.860519
11.403459,9,3.868048
19.330554,26,3.889122
11.991221,9,3.896593
12.483794,9,3.904211
16.995735,16,3.917277
15.321786,15,3.929557
15.114693,19,3.94507
14.28837,14,3.956758
10.209853,8,3.963409
11.712029,10,3.971552
13.76117,14,3.983013
10.323327,7,3.988906
10.527122,7,3.994908
13.634009,12,4.004801
16.907961,29,4.028424
19.672017,24,4.048185
10.911584,7,4.054181
17.18666,16,4.067517
10.734346,7,4.073458
14.625957,14,4.084983
12.699488,10,4.093256
11.073612,9,4.100642
12.922976,12,4.110462
18.640904,20,4.12688
11.167217,10,4.135233
11.301095,8,4.141969
12.910063,14,4.15364
13.989145,15,4.165983
12.743241,12,4.175929
16.394144,14,4.187525
10.976545,17,4.201038
13.372756,21,4.218112
10.26017,8,4.224806
10.175823,8,4.231553
13.56906,10,4.239816
12.479932,10,4.247993
14.699164,15,4.260114
13.467421,12,4.269921
13.42659,11,4.279063
14.192729,22,4.296556
11.716563,15,4.308603
13.183218,10,4.317023
16.483776,15,4.329484
10.157268,10,4.337834
13.501038,10,4.346204
14.133228,10,4.354403
12.094941,13,4.365121
11.157495,7,4.37108
10.888088,7,4.376994
13.330461,10,4.385383
20.45582,21,4.402484
12.950813,11,4.411699
11.583117,14,4.423149
10.335199,9,4.430878
13.3266,19,4.446467
14.879599,15,4.459131
11.320281,9,4.46674
14.582267,14,4.478587
10.566788,8,4.485474
8.544605,8,4.492352
16.730524,20,4.508735
13.027715,17,4.522492
12.210907,14,4.534088
12.151889,9,4.54149
14.690808,17,4.554976
14.440993,13,4.56595
10.072853,8,4.572837
17.903603,15,4.585128
15.561264,15,4.597369
12.404989,9,4.604996
10.471973,8,4.611799
14.598581,15,4.623994
14.391668,18,4.638615
12.88392,13,4.649314
13.127052,17,4.662803
14.648866,13,4.673541
13.792439,12,4.683549
13.435838,12,4.693589
